***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "15-42-28-13-11-2017"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
56548.9293;(0.0000, 2.2000, -20.7000);336.7657;359.0210;Infinity;;
56548.9730;(0.0000, 2.2000, -20.7000);332.8000;356.4000;78.3202;;
56549.0006;(-0.0688, 2.2000, -20.5658);334.5372;356.3210;62.9799;;
56549.0172;(-0.1087, 2.2000, -20.4821);336.1383;356.3104;58.4704;;
56549.0366;(-0.1533, 2.2000, -20.3812);337.0011;356.3073;58.5908;;
56549.0648;(-0.2027, 2.2000, -20.2649);338.5329;356.3396;57.8190;;
56549.0846;(-0.2542, 2.2000, -20.1339);341.3105;356.4211;54.3820;;
56549.1012;(-0.3034, 2.2000, -19.9884);343.0493;356.5559;53.9803;;
56549.1179;(-0.3516, 2.2000, -19.8302);344.2950;356.6892;54.5252;;
56549.1343;(-0.3991, 2.2000, -19.6611);345.7111;356.9032;55.0105;;
56549.1512;(-0.4448, 2.2000, -19.4816);347.2365;357.1669;55.5744;;
56549.1853;(-0.4876, 2.2000, -19.2927);352.7831;358.3412;56.0806;;
56549.2084;(-0.5129, 2.2000, -19.0930);356.1338;359.0223;56.4221;;
56549.2368;(-0.5269, 2.2000, -18.8853);1.5231;359.7614;54.7621;;
56549.2601;(-0.5153, 2.2000, -18.4512);9.0885;0.3443;51.8702;;
56549.2846;(-0.4798, 2.2000, -18.2291);12.9512;0.4515;50.8106;;
56549.3013;(-0.4284, 2.2000, -18.0056);15.4351;0.4728;49.6137;;
56549.3179;(-0.3662, 2.2000, -17.7805);16.3899;0.4810;50.4634;;
56549.3346;(-0.2993, 2.2000, -17.5530);17.0491;0.4867;51.3036;;
56549.3513;(-0.2288, 2.2000, -17.3231);17.5152;0.4907;52.0502;;
56549.3847;(-0.1556, 2.2000, -17.0910);18.0709;0.4955;53.3430;;
56549.4014;(-0.0792, 2.2000, -16.8571);18.2296;0.4968;53.9417;;
56549.4181;(-0.0015, 2.2000, -16.6212);18.3405;0.4978;54.5040;;
56549.4363;(0.0774, 2.2000, -16.3833);18.4186;0.4984;54.9911;;
56549.4602;(0.1571, 2.2000, -16.1437);18.4782;0.4990;54.9708;;
56549.4768;(0.2377, 2.2000, -15.9026);18.5304;0.4994;53.3216;;
56549.5002;(0.3191, 2.2000, -15.6600);18.5513;0.4996;53.9194;;
56549.5168;(0.4009, 2.2000, -15.4161);18.5717;0.4998;52.5658;;
56549.5335;(0.4832, 2.2000, -15.1712);18.2802;0.4998;53.2251;;
56549.5525;(0.5647, 2.2000, -14.9247);15.5590;0.5299;53.8367;;
